common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Accipitridae,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Spizaetus-ornatus-001.jpg/220px-Spizaetus-ornatus-001.jpg,images/,guinea|egypt|madagascar,,diurnal,false,Accipitridae
River kingfishers,,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Alcedo_atthis_2_%28Marek_Szczepanek%29.jpg/220px-Alcedo_atthis_2_%28Marek_Szczepanek%29.jpg,images/,madagascar,,,false,Alcedinidae
Auk,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Parakeetauklets2.jpg/250px-Parakeetauklets2.jpg,images/,,,,false,Alcidae
Aleutian tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Onychoprion,Onychoprion aleuticus,,Onychoprion aleuticus,onychoprion_aleuticus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Aleutian_Tern.jpg/220px-Aleutian_Tern.jpg,images/onychoprion_aleuticus,,,,false,Aleutian_Tern
Alpine accentor,Least Concern,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella collaris,,Prunella collaris,prunella_collaris.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Alpine_accentor_saganta.jpg/250px-Alpine_accentor_saganta.jpg,images/prunella_collaris,,,,false,Alpine_Accentor
Amami rabbit,Endangered,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Pentalagus,Pentalagus furnessi,,Pentalagus furnessi,pentalagus_furnessi.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Amami_rabbit_Stuffed_specimen.jpg/250px-Amami_rabbit_Stuffed_specimen.jpg,images/pentalagus_furnessi,japan,,nocturnal,false,Amami_Rabbit
Ryukyu shrew,Endangered,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura orii,,Crocidura orii,crocidura_orii.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Ryukyu_Shrew_area.png/220px-Ryukyu_Shrew_area.png,images/crocidura_orii,kenya|cameroon|congo|japan,,,true,Amami_Shrew
Amami thrush,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera,Zoothera dauma,,Zoothera dauma major,zoothera_dauma_major.html,,images/zoothera_dauma_major,japan,,,true,Amami_Thrush
Amami woodcock,Vulnerable,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax mira,,Scolopax mira,scolopax_mira.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Amami_Woodcock_Stuffed_specimen.jpg/220px-Amami_Woodcock_Stuffed_specimen.jpg,images/scolopax_mira,japan,,,true,Amami_Woodcock
American golden plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,Pluvialis dominica,pluvialis_dominica.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pluvialis_dominica1.jpg/220px-Pluvialis_dominica1.jpg,images/pluvialis_dominica,,,,false,American_Golden_Plover
